ord_number,ordtime,sym,tsym,token,instrument,lotsize,qty,avgprice,totalprice,netprice,trantype,status
7068308,2023-08-02 09:31:00,IBULHSGFIN,IBULHSGFIN-EQ,30125,Eq,1,335,149.1,49948.5,-49948.5,B,N
2264923,2023-08-02 09:31:00,OBEROIRLTY,OBEROIRLTY-EQ,20242,Eq,1,44,1113.0,48972.0,-48972.0,B,N
2586935,2023-08-02 09:31:00,ESCORTS,ESCORTS-EQ,958,Eq,1,19,2610.05,49590.950000000004,-49590.950000000004,B,N
3494867,2023-08-02 09:31:00,PVRINOX,PVRINOX-EQ,13147,Eq,1,31,1600.25,49607.75,-49607.75,B,N
9355168,2023-08-02 09:31:00,INDIACEM,INDIACEM-EQ,1515,Eq,1,226,221.0,49946.0,-49946.0,B,N
2783157,2023-08-02 09:31:00,NATIONALUM,NATIONALUM-EQ,6364,Eq,1,530,94.25,49952.5,49952.5,S,N
9626705,2023-08-02 09:31:00,TATASTEEL,TATASTEEL-EQ,3499,Eq,1,415,120.35,49945.25,49945.25,S,N
1245195,2023-08-02 09:31:00,HINDPETRO,HINDPETRO-EQ,1406,Eq,1,177,281.2,49772.4,49772.4,S,N
7025788,2023-08-02 09:31:00,CIPLA,CIPLA-EQ,694,Eq,1,42,1165.3,48942.6,48942.6,S,N
3307435,2023-08-02 09:31:00,CUMMINSIND,CUMMINSIND-EQ,1901,Eq,1,26,1893.65,49234.9,49234.9,S,N
1996398,2023-08-02 09:40:00,IBULHSGFIN,IBULHSGFIN-EQ,30125,Eq,1,335,151.05,50601.75000000001,50601.75000000001,S,N
2985320,2023-08-02 09:40:00,PVRINOX,PVRINOX-EQ,13147,Eq,1,31,1590.75,49313.25,49313.25,S,N
8230581,2023-08-02 09:40:00,INDIACEM,INDIACEM-EQ,1515,Eq,1,226,223.35,50477.1,50477.1,S,N
5130251,2023-08-02 09:50:00,ESCORTS,ESCORTS-EQ,958,Eq,1,19,2654.95,50444.049999999996,50444.049999999996,S,N
